date;topic;temp;lat;lng
2019-10-03-16-30-56;TempGPS;18.062;52.4323;13.3085
2019-10-03-16-30-58;TempGPS;18.062;52.4323;13.3086
2019-10-03-16-31-19;TempGPS;18.062;52.4318;13.3088
2019-10-03-16-31-42;TempGPS;18.062;52.4316;13.3093
2019-10-03-16-32-05;TempGPS;18.062;52.4313;13.3093
2019-10-03-16-32-07;TempGPS;18.062;52.4312;13.3093
2019-10-03-16-32-28;TempGPS;18.062;52.4309;13.309
2019-10-03-16-32-51;TempGPS;18.062;52.4306;13.3087
2019-10-03-16-33-14;TempGPS;18.062;52.4303;13.3084
2019-10-03-16-33-16;TempGPS;18.062;52.4303;13.3083
2019-10-03-16-33-38;TempGPS;18.062;52.4301;13.3081
2019-10-03-16-34-00;TempGPS;18.125;52.4298;13.3077
2019-10-03-16-34-02;TempGPS;18.125;52.4297;13.3077
2019-10-03-16-34-23;TempGPS;18.062;52.4295;13.3073
2019-10-03-16-34-25;TempGPS;18.062;52.4294;13.3073
2019-10-03-16-34-46;TempGPS;18.062;52.4293;13.3071
2019-10-03-16-35-09;TempGPS;18.062;52.4289;13.3067
2019-10-03-16-35-11;TempGPS;18.062;52.4289;13.3066
2019-10-03-16-35-32;TempGPS;18.062;52.4286;13.3063
2019-10-03-16-35-56;TempGPS;18.062;52.4282;13.3059
2019-10-03-16-36-41;TempGPS;18;52.4277;13.3053
2019-10-03-16-36-44;TempGPS;18;52.4277;13.3052
2019-10-03-16-36-54;TempGPS;18;52.4275;13.3051
2019-10-03-16-36-58;TempGPS;18.062;52.4274;13.305
2019-10-03-16-37-12;TempGPS;18;52.4273;13.3048
2019-10-03-16-37-14;TempGPS;18;52.4273;13.3048
2019-10-03-16-37-26;TempGPS;18;52.4272;13.3046
2019-10-03-16-37-49;TempGPS;18;52.4268;13.3042
2019-10-03-16-37-52;TempGPS;18;52.4268;13.3042
2019-10-03-16-38-12;TempGPS;18;52.4265;13.3039
2019-10-03-16-38-15;TempGPS;18;52.4265;13.3039
2019-10-03-16-38-30;TempGPS;18;52.4263;13.3037
2019-10-03-16-38-32;TempGPS;18;52.4263;13.3036
2019-10-03-16-38-53;TempGPS;17.937;52.426;13.3033
2019-10-03-16-39-15;TempGPS;17.937;52.4257;13.3029
2019-10-03-16-39-38;TempGPS;17.937;52.4254;13.3026
2019-10-03-16-39-40;TempGPS;17.937;52.4254;13.3026
2019-10-03-16-40-01;TempGPS;17.937;52.4251;13.3023
2019-10-03-16-40-24;TempGPS;17.875;52.4248;13.3019
2019-10-03-16-40-47;TempGPS;17.875;52.4246;13.3016
2019-10-03-16-40-50;TempGPS;17.875;52.4245;13.3016
2019-10-03-16-40-52;TempGPS;17.875;52.4245;13.3015
2019-10-03-16-41-33;TempGPS;17.875;52.4239;13.3009
2019-10-03-16-41-56;TempGPS;17.812;52.4236;13.3006
2019-10-03-16-41-58;TempGPS;17.875;52.4236;13.3005
2019-10-03-16-42-19;TempGPS;17.812;52.4233;13.3002
2019-10-03-16-42-42;TempGPS;17.812;52.423;13.2999
2019-10-03-16-43-05;TempGPS;17.812;52.4227;13.2996
2019-10-03-16-43-07;TempGPS;17.812;52.4227;13.2996
2019-10-03-16-43-28;TempGPS;17.812;52.4225;13.2993
2019-10-03-16-43-30;TempGPS;17.812;52.4225;13.2992
2019-10-03-16-43-51;TempGPS;17.812;52.4222;13.2989
2019-10-03-16-43-53;TempGPS;17.812;52.4222;13.2988
2019-10-03-16-44-14;TempGPS;17.812;52.4221;13.2985
2019-10-03-16-44-17;TempGPS;17.812;52.4221;13.2984
2019-10-03-16-44-22;TempGPS;17.812;52.4222;13.2983
2019-10-03-16-44-25;TempGPS;17.812;52.4222;13.2983
2019-10-03-16-44-37;TempGPS;17.812;52.4224;13.2981
2019-10-03-16-45-00;TempGPS;17.812;52.4227;13.2978
2019-10-03-16-45-02;TempGPS;17.812;52.4227;13.2978
